event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_02_15_11_18_16    2    3    True    0    [[1, 2, 15], [5, 2, 15], [10, 2, 15], [5, 2, 15], [1, 2, 15], [60, 3, 0]]    1    none
2    2023_02_15_11_26_24    2    3    True    0    [[10, 2, 15], [5, 3, 0]]    1    none
3    2023_02_15_11_27_24    2    3    True    0    [[10, 3, 0]]    1    none
4    2023_02_15_11_28_18    2    3    True    0    [[30, 3, 0]]    1    none
5    2023_02_15_11_35_17    2    3    True    0    [[5, 2, 15], [60, 3, 0]]    1    none
6    2023_02_15_11_42_08    2    3    True    0    [[5, 2, 15], [30, 2, 15], [10, 3, 0]]    1    none
7    2023_02_15_11_45_45    2    3    True    0    [[1, 2, 15], [1, 2, 15], [5, 2, 15], [5, 3, 0]]    1    none
8    2023_02_15_11_51_45    2    3    True    0    [[30, 3, 0]]    1    none
9    2023_02_15_11_59_09    2    3    False    0    [[5, 3, 15]]    1    none
10    2023_02_15_12_00_50    2    3    True    0    [[1, 2, 15], [60, 3, 0]]    1    none
11    2023_02_15_12_07_38    2    3    True    0    [[10, 3, 0]]    1    none
12    2023_02_15_12_13_31    2    3    True    0    [[10, 2, 15], [1, 3, 0]]    1    none
13    2023_02_15_12_17_41    2    3    True    0    [[1, 2, 15], [120, 3, 0]]    1    none
14    2023_02_15_12_32_51    2    3    True    0    [[5, 2, 15], [5, 3, 0]]    1    none
15    2023_02_15_12_37_12    2    3    True    0    [[1, 2, 15], [120, 3, 0]]    1    none
16    2023_02_15_13_05_26    4    5    True    0    [[10, 5, 0]]    1    none
17    2023_02_15_13_23_17    2    3    True    0    [[30, 3, 0]]    0    2_dark
18    2023_02_15_13_25_58    2    3    True    0    [[5, 3, 0]]    1    none
19    2023_02_15_13_55_53    2    3    True    0    [[10, 2, 15], [5, 3, 0]]    1    none
20    2023_02_15_14_05_03    2    3    True    0    [[30, 3, 0]]    1    none
21    2023_02_15_14_12_06    2    3    True    0    [[10, 3, 0]]    1    none
22    2023_02_15_14_56_21    2    3    True    0    [[1, 2, 15], [5, 2, 15], [5, 2, 15], [30, 3, 0]]    1    none
23    2023_02_15_15_03_59    2    3    True    0    [[60, 3, 0]]    1    none
24    2023_02_15_15_16_40    2    3    True    0    [[1, 2, 15], [10, 3, 0]]    1    none
25    2023_02_15_15_40_59    2    3    True    0    [[5, 2, 15], [10, 3, 0]]    1    none
26    2023_02_15_15_50_26    2    3    True    0    [[60, 3, 0]]    1    none
27    2023_02_15_15_53_16    2    3    True    0    [[30, 3, 0]]    1    none
28    2023_02_15_15_59_31    2    3    True    0    [[10, 3, 0]]    1    none
