event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    20.63    94.63    194.0    1    1    none
2    16.95    16.95    30.0    1    1    none
3    2.52    2.52    5.0    1    1    none
4    23.67    33.67    40.0    1    1    none
5    3.52    276.52    278.01    1    1    none
6    0    0    0.0    0    0    2_dark
7    1.88    1.88    30.0    1    1    none
8    0    0    279.0    0    0    2_dark
9    8.56    129.56    1.0    0    1    2_dark
10    0    0    101.0    0    0    2_dark
11    51.87    63.87    72.0    1    1    none
12    7.21    226.23    229.02    1    1    none
13    0    0    294.0    0    1    none
14    0    0    107.0    0    0    2_dark
15    70.51    135.51    185.0    1    1    none
16    4.42    44.42    50.0    1    1    none
17    0    0    294.0    0    1    none
18    0    0    102.0    0    0    2_dark
19    0    0    102.0    0    0    2_dark
20    0    0    294.02    0    1    none
