event_number    diss_time_[s]    accumulative_diss_time_[s]    accumulative_exposure_time_[s]    diss_worked    use_data    reason
1    2.25    15.25    18.0    1    1    melting
2    50.59    55.59    125.0    1    1    none
3    0    0    0.0    0    0    2_dark
4    3.19    107.19    114.0    1    0    dark_reappeared
5    25.93    25.93    120.0    1    1    dark_reappeared
6    43.4    43.4    120.0    1    1    dark_reappeared
7    2.19    2.19    120.0    1    1    none
8    2.92    38.95    46.03    1    1    none
9    9.68    11.68    12.0    1    1    none
10    9.56    10.56    121.0    1    1    none
11    0    0    31.0    0    1    2_dark,dark_reappeared
12    0    0    0.0    0    0    2_dark
13    8.55    54.55    76.0    1    1    none
14    4.47    145.47    201.0    1    0    dark_reappeared
15    32.59    35.59    63.0    1    0    dark_reappeared
16    1.59    61.59    70.0    1    0    dark_reappeared
17    1.87    1.87    30.0    1    1    dark_reappeared
18    67.16    74.16    1.0    0    0    2_dark,dark_reappeared
19    13.71    51.71    68.0    1    1    none
20    20.38    21.38    1.0    0    0    2_dark
21    7.09    8.09    61.0    1    1    none
22    24.1    80.1    40.0    0    1    2_dark
23    28.62    39.62    41.0    1    0    2_dark
24    12.65    17.65    65.0    1    1    none
25    42.52    54.52    132.0    1    1    dark_reappeared
26    4.97    4.97    30.0    1    0    2_dark
27    6.85    9.85    33.0    1    1    none
