event_number    event_time    bright_ion_num_before_diss    bright_ion_num_after_dissdiss_success    diss_time_[s]    [list_of_tested_diss_times_[s],ion_num,dark_ion_events]    use_data    reason
1    2023_02_08_11_41_34    2    3    True    0    [[1, 2, 15], [5, 2, 15], [5, 2, 15], [1, 2, 15], [5, 2, 15], [30, 2, 15], [60, 3, 0]]    1    none
2    2023_02_08_11_51_07    2    3    True    0    [[1, 2, 15], [1, 2, 15], [10, 2, 15], [5, 2, 15], [30, 3, 0]]    1    none
3    2023_02_08_11_58_16    2    0    False    0    [[1, 2, 15], [10, 2, 15], [1, 2, 15], [30, 2, 15], [10, 0, 7]]    0    2_dark
4    2023_02_08_12_17_01    2    1    False    0    [[1, 2, 15], [1, 2, 15], [1, 1, 11]]    0    2_dark
5    2023_02_08_12_44_44    2    3    True    0    [[1, 2, 15], [5, 2, 15], [120, 3, 0]]    1    none
6    2023_02_08_13_11_59    2    3    True    0    [[120, 3, 0]]    1    none
7    2023_02_08_13_24_46    2    3    True    0    [[30, 2, 15], [5, 2, 15], [5, 3, 0]]    1    none
8    2023_02_08_13_29_41    2    3    True    0    [[10, 3, 0]]    1    none
9    2023_02_08_13_35_50    2    3    True    0    [[1, 3, 0]]    1    none
10    2023_02_08_14_07_54    2    3    True    0    [[5, 2, 15], [5, 2, 15], [30, 2, 15], [1, 2, 15], [30, 2, 15], [120, 3, 0]]    0    dark_reappeared
11    2023_02_08_14_16_20    2    3    True    0    [[1, 2, 15], [10, 2, 15], [10, 3, 0]]    1    none
12    2023_02_08_14_32_13    2    3    True    0    [[1, 2, 15], [120, 3, 0]]    1    none
13    2023_02_08_14_45_49    2    3    True    0    [[10, 2, 15], [1, 2, 15], [5, 2, 15], [10, 2, 15], [30, 2, 15], [1, 3, 0]]    1    none
14    2023_02_08_14_53_30    2    3    True    0    [[5, 2, 15], [1, 2, 15], [120, 3, 0]]    1    none
15    2023_02_08_14_59_35    2    3    True    0    [[30, 3, 0]]    1    none
16    2023_02_08_15_05_51    2    3    True    0    [[10, 2, 15], [10, 2, 15], [5, 2, 15], [1, 2, 15], [5, 3, 0]]    1    none
17    2023_02_08_15_18_21    2    3    True    0    [[120, 3, 0]]    0    dark_reappeared
18    2023_02_08_15_25_48    2    3    True    0    [[10, 3, 0]]    1    none
19    2023_02_08_15_32_46    2    3    True    0    [[5, 2, 15], [60, 3, 0]]    1    none
20    2023_02_08_15_40_42    2    3    True    0    [[5, 2, 15], [120, 3, 0]]    1    none
21    2023_02_08_16_04_01    2    3    True    0    [[10, 2, 15], [120, 3, 0]]    1    none
22    2023_02_08_16_10_46    2    3    True    0    [[10, 2, 15], [30, 2, 15], [5, 2, 15], [30, 3, 0]]    1    none
23    2023_02_08_16_18_21    2    3    True    0    [[10, 2, 15], [5, 2, 15], [1, 2, 15], [5, 2, 15], [1, 2, 15], [5, 2, 15], [1, 2, 15], [120, 3, 0]]    1    none
24    2023_02_08_16_28_40    2    3    True    0    [[1, 2, 15], [1, 3, 0]]    1    none
25    2023_02_08_16_32_00    2    3    True    0    [[120, 3, 0]]    0    dark_reappeared
