frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    407339    86549
471.0    391398    80007
471.2    439732    97556
471.4    393040    91530
471.6    412758    93176
471.8    447408    92251
472.0    414376    89106
472.2    397424    91387
472.4    414887    88638
472.6    195163    44509
472.8    357125    78087
473.0    417719    85744
473.2    378505    91268
473.4    160182    28974
473.6    321464    73015
473.8    293577    58610
474.0    388871    97123
474.2    423512    96185
474.4    428101    108265
474.6    430350    102256
474.8    460252    118813
475.0    375796    79985
475.2    400155    99190
475.4    411146    91083
475.6    405406    99033
475.8    392718    99455
476.0    430470    97973
476.2    405006    83351
476.4    402455    88226
476.6    376879    82169
476.8    391704    91780
