frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    76231    29121
472.2    76029    28566
472.4    69573    25947
472.6    78331    28157
472.8    74856    28373
473.0    71187    22223
473.2    76506    24766
473.4    76446    30576
473.6    61690    18127
473.8    74558    24266
474.0    71507    25634
474.2    64795    21511
474.4    78005    32419
474.6    83055    28567
474.8    62629    21658
475.0    64085    22938
475.2    63739    20457
475.4    47418    16006
475.6    77433    25198
475.8    73162    28904
476.0    73826    28004
476.2    71837    26624
476.4    77459    28192
476.6    68842    23296
476.8    61337    27210
477.0    73499    26693
