wl(nm)    mean_lt(s)    mle_lt(s)    CI_low[lt]    CI_high[lt]    int(W/m2)    int_er    label    file
250    52.341546740475344    46.49999999999999    38.99999999999999    65.1    182.9735490406891    15.934211113699277    250 p6 1 230221    2023_02_21_10h_39m_46s_dissociation_measurement
250    127.01641775547643    113.39999999999999    96.3    156.9    109.93875321498432    9.28293342252094    250 p4 1 230228    2023_02_28_11h_10m_39s_dissociation_measurement
250    65.49747853744218    56.699999999999996    47.699999999999996    82.8    281.81060145215446    23.16450156576931    250 p10 1 230301    2023_03_01_10h_13m_12s_dissociation_measurement
250    19.346499590638874    17.4    14.4    24.0    288.84103815560354    24.02972371169076    250 p10 1 230302    2023_03_02_10h_45m_42s_dissociation_measurement
