frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    409383    88535
471.0    377874    81237
471.2    407510    97321
471.4    474261    107164
471.6    424636    113409
471.8    431918    111388
472.0    435688    110936
472.2    419655    99643
472.4    415619    92077
472.6    455854    104373
472.8    440907    103734
473.0    384707    82870
473.2    350217    76644
473.4    387763    93544
473.6    440009    88592
473.8    335971    71991
474.0    388795    76673
474.2    471995    106970
474.4    450727    104271
474.6    457409    111030
474.8    429714    85100
475.0    450682    109082
475.2    394449    90445
475.4    428293    95584
475.6    392000    81706
475.8    396879    78853
476.0    423418    96764
476.2    400151    87103
476.4    398088    87175
476.6    402365    85677
476.8    381712    90174
