frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    642328    173424
522.5    636893    184910
523.0    687476    177536
523.5    631697    177498
524.0    620312    183941
524.5    701925    192957
525.0    635317    175172
525.5    652834    184194
526.0    684459    179030
526.5    695450    189183
527.0    525327    139425
527.5    711754    183456
528.0    694250    190742
528.5    662489    178812
529.0    673620    186562
529.5    690410    195452
530.0    642310    192403
530.5    653166    180677
531.0    626166    178577
531.5    622027    166272
532.0    650802    178795
