frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    238008    72937
473.5    205547    58099
473.7    211565    54680
473.9    222574    55275
474.1    187370    49230
474.3    164636    43324
474.5    216736    60485
474.7    183644    44992
474.9    187862    44675
475.1    146703    35112
475.3    206985    52720
475.5    213217    58267
475.7    209336    62863
475.9    208357    46395
476.1    210301    61370
476.3    220482    55235
476.5    229175    59113
476.7    234173    71304
476.9    226882    62453
477.1    243449    71035
477.3    252057    77370
