frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    151535    46188
473.5    159510    49013
473.7    174467    56713
473.9    144479    48869
474.1    161601    46792
474.3    130942    44674
474.5    123413    39043
474.7    113988    38718
474.9    85676    25465
475.1    82806    28063
475.3    136504    41467
475.5    148552    45131
475.7    164342    59580
475.9    151486    50478
476.1    151181    59844
476.3    178057    53534
476.5    170869    59879
476.7    190745    58501
476.9    193167    75339
477.1    199474    68759
477.3    206637    70259
