frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    78544    32953
522.5    63091    29291
523.0    66957    30933
523.5    54291    28450
524.0    58869    27384
524.5    33713    15768
525.0    40646    18160
525.5    29885    10565
526.0    16132    7535
526.5    12955    4598
527.0    11733    5009
527.5    14791    5226
528.0    27231    14810
528.5    34728    15344
529.0    52023    23434
529.5    53487    20365
530.0    71760    31450
530.5    78985    28913
531.0    73950    29860
531.5    73059    31103
532.0    81965    34265
