frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    350389    93921
471.0    346436    85250
471.2    389529    102215
471.4    332531    96570
471.6    330878    103976
471.8    335889    105196
472.0    337575    99228
472.2    275152    75174
472.4    296649    72236
472.6    276553    82914
472.8    306183    90440
473.0    286096    80102
473.2    289530    91511
473.4    244651    58420
473.6    256233    66780
473.8    256575    77666
474.0    177977    47976
474.2    315073    101737
474.4    363822    107851
474.6    366863    99225
474.8    353228    99790
475.0    396969    108864
475.2    343637    95343
475.4    351886    96626
475.6    357688    91637
475.8    298502    89355
476.0    312099    86303
476.2    327184    89269
476.4    290366    74479
476.6    322965    89290
476.8    334890    94785
