frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    568154    145401
522.5    588500    163719
523.0    553240    163528
523.5    515477    133909
524.0    615965    178693
524.5    558870    164692
525.0    564414    161610
525.5    587782    162037
526.0    643373    168630
526.5    616688    167948
527.0    484086    131308
527.5    647514    184109
528.0    601333    156931
528.5    641823    178589
529.0    567088    154001
529.5    544011    145516
530.0    558417    143127
530.5    546020    148608
531.0    552514    148252
531.5    526030    138369
532.0    544966    142141
