frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    656712    166549
522.5    639287    178492
523.0    668169    181660
523.5    646977    179022
524.0    658501    177723
524.5    645738    173232
525.0    700381    188361
525.5    720215    191204
526.0    753723    212320
526.5    747716    211750
527.0    515447    146252
527.5    706908    195736
528.0    720437    194598
528.5    647343    181344
529.0    667865    181835
529.5    685350    174646
530.0    683534    186822
530.5    642139    169351
531.0    653983    164173
531.5    634196    172643
532.0    624272    172603
