frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    230998.6666666667    67745.66666666667
471.0    226427.66666666666    67178.0
471.2    229443.0    69104.0
471.4    216332.66666666663    61407.99999999999
471.6    242336.33333333334    71088.99999999999
471.8    225753.3333333333    58705.33333333332
472.0    243904.33333333334    70697.33333333331
472.2    229796.33333333334    63739.0
472.4    211974.0    61231.99999999999
472.6    215243.33333333334    57342.0
472.8    195054.0    52972.00000000001
473.0    196913.6666666667    50622.33333333333
473.2    202385.0    51041.0
473.4    194323.66666666663    50466.66666666666
473.6    191396.66666666666    48522.33333333334
473.8    169271.6666666667    42464.0
474.0    154389.33333333337    39161.0
474.2    171098.0    46136.33333333333
474.4    217148.33333333337    55530.0
474.6    213750.6666666667    58200.333333333336
474.8    230054.00000000003    62607.66666666667
475.0    227147.3333333333    65016.0
475.2    246736.3333333333    72731.66666666667
475.4    237647.66666666666    69421.66666666667
475.6    224404.33333333334    62906.666666666664
475.8    234933.99999999997    63847.666666666664
476.0    228713.00000000003    67357.0
476.2    230646.6666666667    62556.333333333336
476.4    217153.0    61373.666666666664
476.6    227381.99999999997    62731.333333333336
476.8    241671.33333333334    67788.00000000001
