frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    246480    71224
473.5    248663    72823
473.7    228743    66335
473.9    218661    64864
474.1    208998    66462
474.3    222055    56415
474.5    207613    54596
474.7    177406    41894
474.9    154334    40199
475.1    199404    53727
475.3    211996    60980
475.5    194919    54504
475.7    201785    46601
475.9    179071    53060
476.1    225744    66495
476.3    228554    75528
476.5    266161    72946
476.7    244717    71109
476.9    286278    79550
477.1    260109    76373
477.3    273077    71212
