frequency [kHz]    total counts in region of interest    max_val_x_line_sum
473.3    246182    79385
473.5    228507    64930
473.7    237945    61520
473.9    224883    62947
474.1    208563    54263
474.3    188580    52519
474.5    205875    61777
474.7    173360    47400
474.9    157680    45898
475.1    169677    48453
475.3    215336    68084
475.5    120574    26557
475.7    208567    56604
475.9    215837    61539
476.1    214993    59157
476.3    217683    57769
476.5    220885    59270
476.7    220479    62963
476.9    237471    65194
477.1    268091    88108
477.3    245841    62501
