frequency [kHz]    total counts in region of interest    max_val_x_line_sum
523.7    446548.6666666666    116931.33333333336
523.9    399259.0    118196.99999999999
524.1    406920.6666666667    116384.33333333334
524.3    412277.6666666667    113768.33333333333
524.5    406985.6666666667    114743.33333333333
524.7    398466.0    106241.0
524.9    385702.99999999994    111189.66666666666
525.1    381501.33333333326    98749.66666666667
525.3    385606.99999999994    108098.66666666667
525.5    355992.6666666666    96637.33333333331
525.7    368806.6666666666    104963.66666666666
525.9    407650.66666666674    116891.33333333336
526.1    396398.0    107455.0
526.3    405442.3333333333    109118.66666666666
526.5    423839.6666666667    120501.66666666664
526.7    401494.6666666667    115149.33333333334
526.9    426542.3333333334    124492.0
527.1    431825.6666666666    125343.33333333333
527.3    434631.6666666666    125073.33333333333
527.5    440335.3333333334    121534.66666666666
527.7    423372.0    123599.99999999999
