frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    115566    27309
472.2    126292    36562
472.4    126000    31397
472.6    115006    31637
472.8    143384    34327
473.0    135743    39412
473.2    130771    36677
473.4    121336    35765
473.6    116951    27366
473.8    102220    23881
474.0    113369    32285
474.2    105673    24538
474.4    107286    28685
474.6    121598    31002
474.8    95815    24886
475.0    98148    24415
475.2    78909    19038
475.4    77869    17348
475.6    104938    25237
475.8    121140    37438
476.0    104544    26869
476.2    92040    24710
476.4    91427    24664
476.6    97359    27353
476.8    101909    28104
477.0    117786    30443
