frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    247231.99999999997    66946.0
471.0    238859.0    62433.666666666664
471.2    223236.33333333334    61977.0
471.4    233460.33333333337    66665.0
471.6    252773.33333333334    71038.66666666667
471.8    263126.6666666667    75241.0
472.0    239661.6666666667    63834.0
472.2    223815.00000000003    61387.0
472.4    248677.6666666667    68873.99999999999
472.6    237545.6666666667    63466.00000000001
472.8    226699.66666666666    60728.66666666668
473.0    227559.6666666667    60443.0
473.2    198899.66666666666    54762.33333333333
473.4    193372.66666666666    51945.0
473.6    195298.33333333334    52423.333333333336
473.8    165591.66666666666    46012.0
474.0    181796.33333333328    48503.0
474.2    147413.33333333334    38255.66666666667
474.4    232631.99999999997    61358.0
474.6    229272.66666666666    63882.333333333336
474.8    218017.33333333334    55706.66666666666
475.0    209466.0    57473.00000000001
475.2    225969.0    66834.33333333334
475.4    221085.33333333334    61769.0
475.6    235357.99999999997    67813.66666666667
475.8    242291.00000000003    66886.33333333333
476.0    251627.0    71680.00000000001
476.2    232202.6666666667    62025.33333333332
476.4    249006.0    66595.00000000001
476.6    257067.6666666667    68165.66666666666
476.8    254112.6666666667    69304.33333333334
