frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    408707    97911
471.0    393921    108286
471.2    382706    89162
471.4    413877    99918
471.6    401557    94604
471.8    418378    98418
472.0    423592    102053
472.2    399763    93299
472.4    381042    89185
472.6    370905    100486
472.8    382911    89299
473.0    357086    77573
473.2    311046    69205
473.4    332536    81762
473.6    306543    63859
473.8    314343    68031
474.0    351527    93832
474.2    343705    75454
474.4    370184    94965
474.6    390258    90933
474.8    409427    102587
475.0    413944    99057
475.2    431094    95004
475.4    410176    98996
475.6    394652    95473
475.8    388142    88179
476.0    418275    99552
476.2    395318    86175
476.4    375591    92858
476.6    400467    88777
476.8    390194    87503
