frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522.8    404655    113123
523.1    391896    110873
523.4    441236    132139
523.7    417346    123688
524.0    413031    127444
524.3    422733    121717
524.6    348120    103086
524.9    291583    74762
525.2    275373    77730
525.5    437617    118040
525.8    320794    93477
526.1    401375    124331
526.4    388298    117859
526.7    405568    115092
527.0    424125    126961
527.3    366819    112416
527.6    423113    128314
527.9    396849    117902
528.2    414858    117379
528.5    423492    113750
528.8    389995    112873
