frequency [kHz]    total counts in region of interest    max_val_x_line_sum
522    90324    36129
522.5    87675    31982
523.0    69730    27598
523.5    59152    25804
524.0    69342    26603
524.5    51427    19457
525.0    45732    17646
525.5    39085    15518
526.0    22770    9657
526.5    9672    3274
527.0    11540    4956
527.5    25300    8624
528.0    30143    9055
528.5    48878    23064
529.0    53967    21619
529.5    63097    24328
530.0    76302    31741
530.5    87988    35122
531.0    87204    33274
531.5    71317    30355
532.0    81490    32915
