frequency [kHz]    total counts in region of interest    max_val_x_line_sum
472.0    172238    40147
472.2    192276    43974
472.4    192361    40876
472.6    186355    42561
472.8    172613    40730
473.0    180110    40993
473.2    142841    29839
473.4    143946    27803
473.6    139954    26137
473.8    145894    32463
474.0    135554    26706
474.2    146218    29540
474.4    155547    30274
474.6    135800    29287
474.8    145794    30513
475.0    154343    30117
475.2    129836    25928
475.4    110774    19735
475.6    142632    30461
475.8    124994    23294
476.0    143364    25292
476.2    132815    28610
476.4    145875    30682
476.6    139024    28725
476.8    156769    34536
477.0    141321    34227
