frequency [kHz]    total counts in region of interest    max_val_x_line_sum
470.8    311765.33333333343    79975.33333333334
471.0    291477.3333333333    77395.33333333333
471.2    299058.0    79839.33333333333
471.4    293166.3333333334    80282.99999999999
471.6    323418.99999999994    83381.33333333333
471.8    325737.6666666666    92528.0
472.0    312566.3333333334    85371.33333333333
472.2    284985.3333333333    78981.99999999999
472.4    270411.6666666666    71948.33333333333
472.6    262972.6666666667    67708.66666666666
472.8    239271.66666666666    62821.333333333336
473.0    250495.66666666666    65974.66666666667
473.2    282207.3333333334    76716.66666666666
473.4    249466.33333333334    65108.33333333335
473.6    233535.33333333334    62673.0
473.8    255315.6666666667    64424.99999999999
474.0    201994.0    52230.33333333333
474.2    259285.6666666667    73979.66666666666
474.4    254845.00000000003    72473.66666666667
474.6    289017.6666666667    78281.99999999999
474.8    314840.6666666666    85806.0
475.0    326601.3333333333    97067.33333333333
475.2    327826.0    89147.33333333333
475.4    325116.00000000006    89609.99999999999
475.6    315928.6666666667    87879.00000000001
475.8    328269.3333333333    92879.00000000001
476.0    339099.6666666667    94544.33333333333
476.2    328349.6666666667    89127.33333333333
476.4    322099.3333333333    83945.0
476.6    324393.99999999994    79823.0
476.8    327149.6666666667    85273.33333333331
